Fiyat,Oda Sayısı,Metrekare,Bina Yaşı,Kat Durumu,Bina Konumu
"1.340.000
TL",2 + 1,100 m²,11 Yaşında,Bahçe Katı,Ankara / Mamak / Küçük Kayaş Mah.
"1.345.000
TL",3 + 1,120 m²,7 Yaşında,Kot 1,Ankara / Altındağ / Beşikkaya Mah.
"1.345.000
TL",3 + 1,120 m²,20 Yaşında,Kot 1,Ankara / Mamak / Başak Mah.
"1.349.000
TL",3 + 1,100 m²,4 Yaşında,Bahçe Katı,Ankara / Polatlı / Taşpınar Mah.
"1.349.000
TL",3 + 1,135 m²,20 Yaşında,Bahçe Katı,Ankara / Sincan / Malazgirt Mah.
"1.349.000
TL",2 + 1,95 m²,25 Yaşında,Giriş Katı,Ankara / Mamak / General Zeki Doğan Mah.
"1.349.000
TL",2 + 1,100 m²,15 Yaşında,Kot 1,Ankara / Altındağ / Feridun Çelik Mah.
"1.349.000
TL",3 + 1,95 m²,25 Yaşında,Kot 1,Ankara / Keçiören / Basınevleri Mah.
"1.349.000
TL",3 + 1,130 m²,20 Yaşında,Bahçe Katı,Ankara / Sincan / Malazgirt Mah.
"1.350.000
TL",2 + 1,250 m²,Sıfır Bina,,Ankara / Altındağ / Aydıncık Mah.
"1.350.000
TL",2 + 1,900 m²,25 Yaşında,Giriş Katı,Ankara / Mamak / General Zeki Doğan Mah.
"1.350.000
TL",3 + 1,130 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",2 + 1,90 m²,20 Yaşında,Kot 2,Ankara / Mamak / Gülveren Mah.
"1.350.000
TL",3 + 1,145 m²,25 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",2 + 1,100 m²,31 Yaşında,5. Kat,Ankara / Yenimahalle / Karşıyaka Mah.
"1.350.000
TL",3 + 1,115 m²,25 Yaşında,Kot 1,Ankara / Keçiören / Basınevleri Mah.
"1.350.000
TL",1 + 1,75 m²,Sıfır Bina,Giriş Katı,Ankara / Polatlı / Mehmet Akif Mah.
"1.350.000
TL",5 + 2,125 m²,15 Yaşında,Bahçe Katı,Ankara / Sincan / Malazgirt Mah.
"1.350.000
TL",3 + 1,125 m²,35 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetlale Mah.
"1.350.000
TL",3 + 1,125 m²,25 Yaşında,En Üst Kat,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.350.000
TL",3 + 1,155 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",3 + 1,115 m²,25 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetlale Mah.
"1.350.000
TL",3 + 1,140 m²,15 Yaşında,3. Kat,Ankara / Akyurt / Güzelhisar Mah.
"1.350.000
TL",1 + 1,55 m²,15 Yaşında,Giriş Katı,Ankara / Çankaya / İleri Mah.
"1.350.000
TL",3 + 0,105 m²,18 Yaşında,Bahçe Katı,Ankara / Sincan / Mareşal Çakmak Mah.
"1.350.000
TL",2 + 1,100 m²,35 Yaşında,Yüksek Giriş,Ankara / Mamak / Demirlibahçe Mah.
"1.350.000
TL",2 + 1,115 m²,30 Yaşında,Kot 3,Ankara / Mamak / Mehtap Mah.
"1.350.000
TL",1 + 1,70 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.350.000
TL",1 + 1,45 m²,Sıfır Bina,Zemin,Ankara / Çubuk / Dumlupınar Mah.
"1.350.000
TL",1 + 1,90 m²,Sıfır Bina,,Ankara / Pursaklar / Saray Gümüşoluk Mah.
"1.350.000
TL",2 + 1,90 m²,15 Yaşında,Kot 1,Ankara / Mamak / Gülveren Mah.
"1.350.000
TL",3 + 1,145 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.350.000
TL",1 + 1,60 m²,55 Yaşında,En Üst Kat,Ankara / Çankaya / Korkutreis Mah.
